,WinningParty,RunnerUpParty,Margin Votes,State,Constituency,Category,Alliance,Region
363,Viduthalai Chiruthaigal Katchi,All India Anna Dravida Munnetra Kazhagam,103554,tamil nadu ,chidambaram,SC,INDI,South
364,Dravida Munnetra Kazhagam,Bharatiya Janata Party,118068,tamil nadu ,coimbatore,GEN,INDI,South
365,Indian National Congress,Desiya Murpokku Dravida Kazhagam,185896,tamil nadu ,cuddalore,GEN,INDI,South
366,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,21300,tamil nadu ,dharmapuri,GEN,INDI,South
367,Communist Party of India  (Marxist),All India Anna Dravida Munnetra Kazhagam,443821,tamil nadu ,dindigul,GEN,INDI,South
368,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,236566,tamil nadu ,erode,GEN,INDI,South
369,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,53784,tamil nadu ,kallakurichi,GEN,INDI,South
370,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,221473,tamil nadu ,kancheepuram,SC,INDI,South
371,Indian National Congress,Bharatiya Janata Party,179907,tamil nadu ,kanniyakumari,GEN,INDI,South
372,Indian National Congress,All India Anna Dravida Munnetra Kazhagam,166816,tamil nadu ,karur,GEN,INDI,South
373,Indian National Congress,All India Anna Dravida Munnetra Kazhagam,192486,tamil nadu ,krishnagiri,GEN,INDI,South
374,Communist Party of India  (Marxist),Bharatiya Janata Party,209409,tamil nadu ,madurai,GEN,INDI,South
375,Indian National Congress,All India Anna Dravida Munnetra Kazhagam,271183,tamil nadu ,mayiladuturai,GEN,INDI,South
376,Communist Party of India,All India Anna Dravida Munnetra Kazhagam,208957,tamil nadu ,nagapattinam,SC,INDI,South
377,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,29112,tamil nadu ,namakkal,GEN,INDI,South
378,Dravida Munnetra Kazhagam,Bharatiya Janata Party,240585,tamil nadu ,nilgiris,SC,INDI,South
379,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,389107,tamil nadu ,perambalur,GEN,INDI,South
380,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,252042,tamil nadu ,pollachi,GEN,INDI,South
381,Indian Union Muslim League,Independent,166782,tamil nadu ,ramanathapuram,GEN,INDI,South
382,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,70357,tamil nadu ,salem,GEN,INDI,South
383,Indian National Congress,All India Anna Dravida Munnetra Kazhagam,205664,tamil nadu ,sivaganga,GEN,INDI,South
384,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,487029,tamil nadu ,sriperumbudur,GEN,INDI,South
385,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,196199,tamil nadu ,tenkasi,SC,INDI,South
386,Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,319583,tamil nadu ,thanjavur,GEN,INDI,South
387,Dravida Munnetra Kazhagam,Amma Makkal Munnettra Kazagam,278825,tamil nadu ,theni,GEN,INDI,South
388,Indian National Congress,Bharatiya Janata Party,572155,tamil nadu ,thiruvallur,SC,INDI,South
389,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,392738,tamil nadu ,thoothukkudi,GEN,INDI,South
390,Marumalarchi Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,313094,tamil nadu ,tiruchirappalli,GEN,INDI,South
391,Indian National Congress,Bharatiya Janata Party,165620,tamil nadu ,tirunelveli,GEN,INDI,South
392,Communist Party of India,All India Anna Dravida Munnetra Kazhagam,125928,tamil nadu ,tiruppur,GEN,INDI,South
393,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,233931,tamil nadu ,tiruvannamalai,GEN,INDI,South
394,Dravida Munnetra Kazhagam,Bharatiya Janata Party,215702,tamil nadu ,vellore,GEN,INDI,South
395,Viduthalai Chiruthaigal Katchi,All India Anna Dravida Munnetra Kazhagam,70703,tamil nadu ,villupuram,SC,INDI,South
396,Indian National Congress,Desiya Murpokku Dravida Kazhagam,4379,tamil nadu ,virudhunagar,GEN,INDI,South
397,Bharatiya Janata Party,Indian National Congress,90652,telangana ,adilabad,ST,NDA,South
398,Indian National Congress,Bharatiya Janata Party,222170,telangana ,bhongir,GEN,INDI,South
399,Bharatiya Janata Party,Indian National Congress,172897,telangana ,chevella,GEN,NDA,South
400,All India Majlis-E-Ittehadul Muslimeen,Bharatiya Janata Party,338087,telangana ,hyderabad,GEN,INDI,South
401,Bharatiya Janata Party,Indian National Congress,225209,telangana ,karimnagar,GEN,NDA,South
402,Indian National Congress,Bharat Rashtra Samithi,467847,telangana ,khammam,GEN,INDI,South
403,Indian National Congress,Bharat Rashtra Samithi,349165,telangana ,mahabubabad,ST,INDI,South
404,Bharatiya Janata Party,Indian National Congress,4500,telangana ,mahbubnagar,GEN,NDA,South
405,Bharatiya Janata Party,Indian National Congress,391475,telangana ,malkajgiri,GEN,NDA,South
406,Bharatiya Janata Party,Indian National Congress,39139,telangana ,medak,GEN,NDA,South
407,Indian National Congress,Bharatiya Janata Party,94414,telangana ,nagarkurnool,SC,INDI,South
408,Indian National Congress,Bharatiya Janata Party,559905,telangana ,nalgonda,GEN,INDI,South
409,Bharatiya Janata Party,Indian National Congress,109241,telangana ,nizamabad,GEN,NDA,South
410,Indian National Congress,Bharatiya Janata Party,131364,telangana ,peddapalle,SC,INDI,South
411,Bharatiya Janata Party,Indian National Congress,49944,telangana ,secunderabad,GEN,NDA,South
412,Indian National Congress,Bharatiya Janata Party,220339,telangana ,warangal,SC,INDI,South
413,Indian National Congress,Bharatiya Janata Party,46188,telangana ,zahirabad,GEN,INDI,South
414,Bharatiya Janata Party,Communist Party of India  (Marxist),486819,tripura,tripura east,ST,NDA,East
415,Bharatiya Janata Party,Indian National Congress,611578,tripura,tripura west,GEN,NDA,East
416,Bharatiya Janata Party,Samajwadi Party,271294,uttar pradesh ,agra,SC,NDA,North
417,Bharatiya Janata Party,Samajwadi Party,44345,uttar pradesh ,akbarpur,GEN,NDA,North
418,Bharatiya Janata Party,Samajwadi Party,15647,uttar pradesh ,aligarh,GEN,NDA,North
419,Indian National Congress,Bharatiya Janata Party,58795,uttar pradesh ,allahabad,GEN,INDI,North
420,Samajwadi Party,Bharatiya Janata Party,137247,uttar pradesh ,ambedkar nagar,GEN,INDI,North
421,Indian National Congress,Bharatiya Janata Party,167196,uttar pradesh ,amethi,GEN,INDI,North
422,Bharatiya Janata Party,Indian National Congress,28670,uttar pradesh ,amroha,GEN,NDA,North
423,Samajwadi Party,Bharatiya Janata Party,15969,uttar pradesh ,aonla,GEN,INDI,North
424,Samajwadi Party,Bharatiya Janata Party,161035,uttar pradesh ,azamgarh,GEN,INDI,North
425,Samajwadi Party,Bharatiya Janata Party,34991,uttar pradesh ,badaun,GEN,INDI,North
426,Rashtriya Lok Dal,Samajwadi Party,159459,uttar pradesh ,baghpat,GEN,INDI,North
427,Bharatiya Janata Party,Samajwadi Party,64227,uttar pradesh ,bahraich,SC,NDA,North
428,Samajwadi Party,Bharatiya Janata Party,43384,uttar pradesh ,ballia,GEN,INDI,North
429,Samajwadi Party,Bharatiya Janata Party,71210,uttar pradesh ,banda,GEN,INDI,North
430,Bharatiya Janata Party,Indian National Congress,3150,uttar pradesh ,bansgaon,SC,NDA,North
431,Indian National Congress,Bharatiya Janata Party,215704,uttar pradesh ,barabanki,SC,INDI,North
432,Bharatiya Janata Party,Samajwadi Party,34804,uttar pradesh ,bareilly,GEN,NDA,North
433,Samajwadi Party,Bharatiya Janata Party,100994,uttar pradesh ,basti,GEN,INDI,North
434,Bharatiya Janata Party,All India Trinamool Congress,44072,uttar pradesh ,bhadohi,GEN,NDA,North
435,Rashtriya Lok Dal,Samajwadi Party,37508,uttar pradesh ,bijnor,GEN,INDI,North
436,Bharatiya Janata Party,Indian National Congress,275134,uttar pradesh ,bulandshahr,SC,NDA,North
437,Samajwadi Party,Bharatiya Janata Party,21565,uttar pradesh ,chandauli,GEN,INDI,North
438,Bharatiya Janata Party,Indian National Congress,34842,uttar pradesh ,deoria,GEN,NDA,North
439,Samajwadi Party,Bharatiya Janata Party,4449,uttar pradesh ,dhaurahra,GEN,INDI,North
440,Bharatiya Janata Party,Samajwadi Party,42728,uttar pradesh ,domariyaganj,GEN,NDA,North
441,Samajwadi Party,Bharatiya Janata Party,28052,uttar pradesh ,etah,GEN,INDI,North
442,Samajwadi Party,Bharatiya Janata Party,58419,uttar pradesh ,etawah,SC,INDI,North
443,Samajwadi Party,Bharatiya Janata Party,54567,uttar pradesh ,faizabad,GEN,INDI,North
444,Bharatiya Janata Party,Samajwadi Party,2678,uttar pradesh ,farrukhabad,GEN,NDA,North
445,Samajwadi Party,Bharatiya Janata Party,33199,uttar pradesh ,fatehpur,GEN,INDI,North
446,Bharatiya Janata Party,Indian National Congress,43405,uttar pradesh ,fatehpur sikri,GEN,NDA,North
447,Samajwadi Party,Bharatiya Janata Party,89312,uttar pradesh ,firozabad,GEN,INDI,North
448,Bharatiya Janata Party,Samajwadi Party,559472,uttar pradesh ,gautam buddha nagar,GEN,NDA,North
449,Bharatiya Janata Party,Indian National Congress,336965,uttar pradesh ,ghaziabad,GEN,NDA,North
450,Samajwadi Party,Bharatiya Janata Party,124861,uttar pradesh ,ghazipur,GEN,INDI,North
451,Samajwadi Party,Suheldev Bharatiya Samaj Party,162943,uttar pradesh ,ghosi,GEN,INDI,North
452,Bharatiya Janata Party,Samajwadi Party,46224,uttar pradesh ,gonda,GEN,NDA,North
453,Bharatiya Janata Party,Samajwadi Party,103526,uttar pradesh ,gorakhpur,GEN,NDA,North
454,Samajwadi Party,Bharatiya Janata Party,2629,uttar pradesh ,hamirpur,GEN,INDI,North
455,Bharatiya Janata Party,Samajwadi Party,27856,uttar pradesh ,hardoi,SC,NDA,North
456,Bharatiya Janata Party,Samajwadi Party,247318,uttar pradesh ,hathras,SC,NDA,North
457,Samajwadi Party,Bharatiya Janata Party,53898,uttar pradesh ,jalaun,SC,INDI,North
458,Samajwadi Party,Bharatiya Janata Party,99335,uttar pradesh ,jaunpur,GEN,INDI,North
459,Bharatiya Janata Party,Indian National Congress,102614,uttar pradesh ,jhansi,GEN,NDA,North
460,Samajwadi Party,Bharatiya Janata Party,69116,uttar pradesh ,kairana,GEN,INDI,North
461,Bharatiya Janata Party,Samajwadi Party,148843,uttar pradesh ,kaiserganj,GEN,NDA,North
462,Samajwadi Party,Bharatiya Janata Party,170922,uttar pradesh ,kannauj,GEN,INDI,North
463,Bharatiya Janata Party,Indian National Congress,20968,uttar pradesh ,kanpur,GEN,NDA,North
464,Samajwadi Party,Bharatiya Janata Party,103944,uttar pradesh ,kaushambi,SC,INDI,North
465,Samajwadi Party,Bharatiya Janata Party,34329,uttar pradesh ,kheri,GEN,INDI,North
466,Bharatiya Janata Party,Samajwadi Party,81790,uttar pradesh ,kushi nagar,GEN,NDA,North
467,Samajwadi Party,Bharatiya Janata Party,115023,uttar pradesh ,lalganj,SC,INDI,North
468,Bharatiya Janata Party,Samajwadi Party,135159,uttar pradesh ,lucknow,GEN,NDA,North
469,Samajwadi Party,Bharatiya Janata Party,35850,uttar pradesh ,machhlishahr,SC,INDI,North
470,Bharatiya Janata Party,Indian National Congress,35451,uttar pradesh ,maharajganj,GEN,NDA,North
471,Samajwadi Party,Bharatiya Janata Party,221639,uttar pradesh ,mainpuri,GEN,INDI,North
472,Bharatiya Janata Party,Indian National Congress,293407,uttar pradesh ,mathura,GEN,NDA,North
473,Bharatiya Janata Party,Samajwadi Party,10585,uttar pradesh ,meerut,GEN,NDA,North
474,Apna Dal (Soneylal),Samajwadi Party,37810,uttar pradesh ,mirzapur,GEN,NDA,North
475,Bharatiya Janata Party,Samajwadi Party,33406,uttar pradesh ,misrikh,SC,NDA,North
476,Samajwadi Party,Bharatiya Janata Party,70292,uttar pradesh ,mohanlalganj,SC,INDI,North
477,Samajwadi Party,Bharatiya Janata Party,105762,uttar pradesh ,moradabad,GEN,INDI,North
478,Samajwadi Party,Bharatiya Janata Party,24672,uttar pradesh ,muzaffarnagar,GEN,INDI,North
479,Aazad Samaj Party (Kanshi Ram),Bharatiya Janata Party,151473,uttar pradesh ,nagina,SC,INDI,North
480,Bharatiya Janata Party,Samajwadi Party,4332,uttar pradesh ,phulpur,GEN,NDA,North
481,Bharatiya Janata Party,Samajwadi Party,164935,uttar pradesh ,pilibhit,GEN,NDA,North
482,Samajwadi Party,Bharatiya Janata Party,66206,uttar pradesh ,pratapgarh,GEN,INDI,North
483,Indian National Congress,Bharatiya Janata Party,390030,uttar pradesh ,rae bareli,GEN,INDI,North
484,Samajwadi Party,Bharatiya Janata Party,87434,uttar pradesh ,rampur,GEN,INDI,North
485,Samajwadi Party,Apna Dal (Soneylal),129234,uttar pradesh ,robertsganj,SC,INDI,North
486,Indian National Congress,Bharatiya Janata Party,64542,uttar pradesh ,saharanpur,GEN,INDI,North
487,Samajwadi Party,Bharatiya Janata Party,3573,uttar pradesh ,salempur,GEN,INDI,North
488,Samajwadi Party,Bharatiya Janata Party,121494,uttar pradesh ,sambhal,GEN,INDI,North
489,Samajwadi Party,Bharatiya Janata Party,92170,uttar pradesh ,sant kabir nagar,GEN,INDI,North
490,Bharatiya Janata Party,Samajwadi Party,55379,uttar pradesh ,shahjahanpur,SC,NDA,North
491,Samajwadi Party,Bharatiya Janata Party,76673,uttar pradesh ,shrawasti,GEN,INDI,North
492,Indian National Congress,Bharatiya Janata Party,89641,uttar pradesh ,sitapur,GEN,INDI,North
493,Samajwadi Party,Bharatiya Janata Party,43174,uttar pradesh ,sultanpur,GEN,INDI,North
494,Bharatiya Janata Party,Samajwadi Party,35818,uttar pradesh ,unnao,GEN,NDA,North
495,Bharatiya Janata Party,Indian National Congress,152513,uttar pradesh ,varanasi,GEN,NDA,North
496,Bharatiya Janata Party,Indian National Congress,234097,uttarakhand,almora,SC,NDA,North
497,Bharatiya Janata Party,Indian National Congress,163503,uttarakhand,garhwal,GEN,NDA,North
498,Bharatiya Janata Party,Indian National Congress,164056,uttarakhand,haridwar,GEN,NDA,North
499,Bharatiya Janata Party,Indian National Congress,334548,uttarakhand,nainital–udhamsingh nagar,GEN,NDA,North
500,Bharatiya Janata Party,Indian National Congress,272493,uttarakhand,tehri garhwal,GEN,NDA,North
501,Bharatiya Janata Party,All India Trinamool Congress,75447,west bengal ,alipurduars,ST,NDA,North
502,All India Trinamool Congress,Bharatiya Janata Party,6399,west bengal ,arambagh,SC,INDI,North
503,All India Trinamool Congress,Bharatiya Janata Party,59564,west bengal ,asansol,GEN,INDI,North
504,All India Trinamool Congress,Indian National Congress,85022,west bengal ,baharampur,GEN,INDI,North
505,Bharatiya Janata Party,All India Trinamool Congress,10386,west bengal ,balurghat,GEN,NDA,North
506,Bharatiya Janata Party,All India Trinamool Congress,73693,west bengal ,bangaon,SC,NDA,North
507,All India Trinamool Congress,Bharatiya Janata Party,32778,west bengal ,bankura,GEN,INDI,North
508,All India Trinamool Congress,Bharatiya Janata Party,114189,west bengal ,barasat,GEN,INDI,North
509,All India Trinamool Congress,Bharatiya Janata Party,160572,west bengal ,bardhaman purba,SC,INDI,North
510,All India Trinamool Congress,Bharatiya Janata Party,137981,west bengal ,bardhaman–durgapur,GEN,INDI,North
511,All India Trinamool Congress,Bharatiya Janata Party,64438,west bengal ,barrackpore,GEN,INDI,North
512,All India Trinamool Congress,Bharatiya Janata Party,333547,west bengal ,basirhat,GEN,INDI,North
513,All India Trinamool Congress,Bharatiya Janata Party,197650,west bengal ,birbhum,GEN,INDI,North
514,Bharatiya Janata Party,All India Trinamool Congress,5567,west bengal ,bishnupur,SC,NDA,North
515,All India Trinamool Congress,Bharatiya Janata Party,327253,west bengal ,bolpur,SC,INDI,North
516,All India Trinamool Congress,Bharatiya Janata Party,39250,west bengal ,cooch behar,SC,INDI,North
517,Bharatiya Janata Party,All India Trinamool Congress,178525,west bengal ,darjeeling,GEN,NDA,North
518,All India Trinamool Congress,Bharatiya Janata Party,710930,west bengal ,diamond harbour,GEN,INDI,North
519,All India Trinamool Congress,Bharatiya Janata Party,70660,west bengal ,dum dum,GEN,INDI,North
520,All India Trinamool Congress,Bharatiya Janata Party,182868,west bengal ,ghatal,GEN,INDI,North
521,All India Trinamool Congress,Bharatiya Janata Party,76853,west bengal ,hooghly,GEN,INDI,North
522,All India Trinamool Congress,Bharatiya Janata Party,169442,west bengal ,howrah,GEN,INDI,North
523,All India Trinamool Congress,Bharatiya Janata Party,258201,west bengal ,jadavpur,GEN,INDI,North
524,Bharatiya Janata Party,All India Trinamool Congress,86693,west bengal ,jalpaiguri,SC,NDA,North
525,All India Trinamool Congress,Indian National Congress,116637,west bengal ,jangipur,GEN,INDI,North
526,All India Trinamool Congress,Bharatiya Janata Party,470219,west bengal ,jaynagar,SC,INDI,North
527,All India Trinamool Congress,Bharatiya Janata Party,174048,west bengal ,jhargram,ST,INDI,North
528,Bharatiya Janata Party,All India Trinamool Congress,47764,west bengal ,kanthi,GEN,NDA,North
529,All India Trinamool Congress,Bharatiya Janata Party,187231,west bengal ,kolkata dakshin,GEN,INDI,North
530,All India Trinamool Congress,Bharatiya Janata Party,92560,west bengal ,kolkata uttar,GEN,INDI,North
531,All India Trinamool Congress,Bharatiya Janata Party,56705,west bengal ,krishnanagar,GEN,INDI,North
532,Indian National Congress,Bharatiya Janata Party,128368,west bengal ,maldaha dakshin,GEN,INDI,North
533,Bharatiya Janata Party,All India Trinamool Congress,77708,west bengal ,maldaha uttar,GEN,NDA,North
534,All India Trinamool Congress,Bharatiya Janata Party,201057,west bengal ,mathurapur,SC,INDI,North
535,All India Trinamool Congress,Bharatiya Janata Party,27191,west bengal ,medinipur,GEN,INDI,North
536,All India Trinamool Congress,Communist Party of India  (Marxist),164215,west bengal ,murshidabad,GEN,INDI,North
537,Bharatiya Janata Party,All India Trinamool Congress,17079,west bengal ,purulia,GEN,NDA,North
538,Bharatiya Janata Party,All India Trinamool Congress,68197,west bengal ,raiganj,GEN,NDA,North
539,Bharatiya Janata Party,All India Trinamool Congress,186899,west bengal ,ranaghat,SC,NDA,North
540,All India Trinamool Congress,Bharatiya Janata Party,174830,west bengal ,srerampur,GEN,INDI,North
541,Bharatiya Janata Party,All India Trinamool Congress,77733,west bengal ,tamluk,GEN,NDA,North
542,All India Trinamool Congress,Bharatiya Janata Party,218673,west bengal ,uluberia,GEN,INDI,North
